Substrate	lutiphocae_013	faecalis_023	pacificensis_032	fulvigenes_045	piscatorii_048	glacincola_011	urativorans_019	okhotskensis_031	cryohalolentis_009	adeliensis_001	fozii_021	luti_022	maritimus_028	aquaticus_003	aestaurii_044	arenosus_005	celer_006	cibarius_007	ciconiae_008
N-acetyl-neuraminic acid	-0.0668	-0.0282	-0.0312	-0.0273	-0.0221	-0.0107	-0.0049	-0.029	-0.0346	-0.0333	-0.019	-0.0315	0.068	0.0629	-0.0347	-0.1054	-0.0324	-0.0287	0.0016
L-glucose	-0.0363	-0.0655	-0.025	-0.0204	0.013	-0.005	-0.0246	-0.0176	-0.0256	-0.0066	-0.0159	-0.0106	0.0032	0.0412	-0.0212	-0.1152	-0.0058	-0.0141	-0.0003
salicin	-0.0321	-0.0225	-0.0226	-0.0076	-0.02	-0.0042	-0.0137	-0.0138	-0.0284	-0.0144	-0.0096	-0.0055	0.0845	0.1182	-0.0114	-0.0869	-0.0157	-0.003	0.0097
caproic acid	-0.0426	0.445	0.4259	0.3332	0.2306	0.3267	0.4417	0.116	0.4618	0.2866	0.1089	0.0896	0.5603	0.1215	0.4917	0.3287	0.358	0.0302	0.2469
malonic acid	-0.021	-0.0615	-0.0269	0.1753	0.0615	-0.0008	-0.0148	-0.0158	-0.0249	0.0956	-0.0149	-0.0084	0.0304	0.1623	0.1457	-0.1222	-0.0113	-0.0108	0.0052
L-alaninamide	-0.0147	0.0341	0.0661	0.0036	0.0319	0.0135	0.0023	0.0097	0.0005	0.0188	0.0029	0.0007	0.1253	-0.0119	0.0015	0.1194	0.0134	0.018	0.0202
L-phenylalanine	0.0162	0.076	0.2382	-0.0237	0.132	0.184	0.0769	0.0076	0.171	0.1881	0.0396	0.0207	0.137	0.3915	-0.0334	0.0175	0.0182	0.0111	0.0357
a-cyclodextrin	-0.0499	-0.0192	-0.0019	-0.0146	-0.0044	-0.0116	-0.0096	-0.2726	-0.0132	-0.0187	0.0025	-0.0135	0.0147	0.0035	-0.0238	-0.0579	-0.0211	-0.0113	-0.0048
b-D-allose	-0.0259	-0.0109	-0.0444	-0.0331	-0.0026	-0.0134	-0.029	-0.0304	-0.0267	-0.0107	-0.0058	-0.0204	-0.0111	0.0784	-0.0282	-0.0797	-0.0355	-0.0208	-0.0009
lactitol	-0.0321	-0.0334	-0.0221	-0.0129	-0.004	-0.0031	-0.017	-0.01	-0.0072	-0.0147	0.0036	-0.0051	0.0227	0.1461	-0.0177	-0.1013	0.0033	-0.0043	0.0066
sedoheptulosan	-0.0335	-0.0332	-0.0193	-0.011	-0.0018	-0.0006	-0.0103	0.0144	0.0021	-0.0036	-0.014	-0.003	0.0013	0.0954	-0.0039	-0.0853	0.0107	0.0091	0.0109
citraconic acid	-0.0451	-0.0124	-0.0333	-0.0105	-0.0007	-0.0026	-0.0027	-0.0179	-0.0263	-0.0149	-0.004	-0.0066	0.0343	0.1052	-0.0256	-0.1113	-0.0138	-0.0042	0.0139
melibionic acid	-0.0405	-0.0262	-0.0196	-0.0154	0.0059	-0.0141	-0.0074	0.0055	-0.0016	-0.0302	-0.0008	0.0074	0.076	0.1419	-0.0087	-0.0983	0.0085	0.0177	0.0119
