Substrate	lutiphocae_013	faecalis_023	pacificensis_032	fulvigenes_045	piscatorii_048	glacincola_011	urativorans_019	okhotskensis_031	cryohalolentis_009	adeliensis_001	fozii_021	luti_022	maritimus_028	aquaticus_003	aestaurii_044	arenosus_005	celer_006	cibarius_007	ciconiae_008
n-acetyl-b-D-mannosamine	-0.0338	0.0077	-0.0282	-0.0343	-0.0699	-0.0015	0.0192	-0.0331	-0.0421	0.103	-0.0182	0.008	0.0252	0.0935	0.0188	-0.0427	0.1858	0.0157	0.0072
pyruvic acid	0.1115	0.2076	0.1653	0.2263	0.1321	0.1671	0.2431	0.205	0.3041	0.2763	0.01	0.1517	0.1544	0.0829	0.1231	0.1168	0.3432	0.0611	0.148
D-alanine	0.0655	0.4801	0.1391	0.4056	0.0814	0.2647	0.3835	0.1302	0.5914	0.3381	0.006	0.1911	0.5138	0.0623	0.3365	0.1557	0.2633	0.0649	0.2495
L-lactic acid	0.0373	0.1362	0.0215	0.0205	0.119	0.027	0.2021	0.2244	0.2641	0.009	0.0509	0.0331	0.1808	0.0432	0.1516	0.0953	0.2329	0.0936	0.1944
a-D-glucose	-0.0147	0.0381	-0.0745	-0.0323	-0.0446	-0.0005	-0.0011	-0.0187	-0.0631	0.0206	-0.0155	-0.0016	0.0177	0.1406	0.0215	-0.0156	0.1696	0.0086	0.0099
a-D-lactose	-0.0203	0.0365	-0.0303	-0.0246	-0.0591	-0.0027	0.0041	-0.0146	-0.0552	0.1291	-0.0043	-0.0062	0.0316	0.1602	0.0203	0.0288	0.1715	0.0125	0.0078
adonitol	-0.0167	-0.0134	-0.0309	-0.0312	-0.082	0.0014	0.0039	-0.0153	-0.0546	0.0591	-0.0062	0.0086	0.0081	0.1274	0.0204	-0.0281	0.1914	0.0162	0.0085
glycolic acid	-0.0316	-0.022	-0.0581	-0.0455	-0.0756	-0.0137	0.0249	-0.0427	0.1638	-0.0376	-0.015	-0.0088	-0.0094	0.0463	-0.0019	-0.0315	0.1685	0.0082	0.0535
mono methyl succinate	0.0231	0.0783	0.0269	0.1302	0.0576	-0.0116	0.0471	-0.0069	-0.0247	0.1088	0.018	0.0268	0.0633	0.0365	0.187	0.0512	0.2081	0.0627	0.0108
L-galactonic acid y lactone	-0.0114	-0.0177	-0.0415	-0.0189	-0.0809	-0.0011	0.0071	-0.0341	0.029	-0.0142	-0.0186	-0.0107	-0.0071	-0.0173	0.0056	-0.0077	0.1828	0.0012	0.0042
D-trehalose	-0.0187	-0.0079	-0.012	-0.0048	-0.0383	-0.0038	-0.0029	-0.0048	0.0174	-0.0148	-0.0115	-0.0098	0.0402	-0.0115	0.0228	-0.0323	0.1848	-0.0038	0.0112
formic acid	0.0048	-0.039	-0.051	-0.0233	-0.0682	-0.0273	-0.0312	-0.0424	-0.0671	-0.0322	-0.0191	-0.0052	0.0036	-0.0486	0.0438	-0.0434	0.1562	-0.0054	0.0134
maltose	-0.0169	0.0087	-0.0395	-0.0241	-0.0684	-0.005	-0.0005	-0.0124	-0.045	-0.0157	-0.0115	-0.0044	0.0319	0.112	0.0265	-0.044	0.1921	0.0073	0.0088
lactulose	-0.019	0.0046	-0.0224	-0.0203	-0.079	-0.0044	0.0019	-0.0135	-0.054	-0.0012	-0.0026	-0.0082	0.0021	0.1188	0.0276	-0.0227	0.1929	0.0132	0.0127
maltotriose	-0.0215	0.0119	-0.0321	-0.0329	-0.0652	-0.0046	-0.0025	-0.0135	-0.0476	0.1279	-0.0148	-0.0046	0.0198	0.1193	0.0261	-0.0224	0.189	0.0113	0.0156
